layer,head,alloc_imp,alloc_imp_lo,alloc_imp_hi,track_imp_r,track_imp_lo,track_imp_hi,track_imp_nullp,surv_imp,alloc_blk,alloc_blk_lo,alloc_blk_hi,track_blk_r,track_blk_lo,track_blk_hi,track_blk_nullp,surv_blk
28,1,-0.000368,-0.000596,-0.000142,0.270798,0.170834,0.369079,0.000000,True,0.000048,-0.000385,0.000476,-0.405845,-0.501739,-0.300933,0.000000,True
30,31,-0.054909,-0.070561,-0.040949,-0.309718,-0.387880,-0.220430,0.000000,True,-0.058691,-0.073994,-0.044996,-0.405074,-0.496462,-0.293286,0.000000,True
27,21,0.010751,0.004694,0.016831,-0.103548,-0.165488,-0.036804,0.467000,False,0.009691,0.003725,0.015533,-0.387742,-0.492068,-0.277390,0.000000,True
19,29,0.000303,0.000047,0.000535,-0.052762,-0.141184,0.031441,0.148000,False,-0.001342,-0.003403,0.000655,-0.371886,-0.462604,-0.278345,0.000000,True
22,23,-0.001338,-0.001723,-0.001031,-0.053140,-0.204496,0.034936,0.155000,False,-0.000765,-0.001359,-0.000183,-0.371695,-0.485151,-0.252151,0.000000,True
28,8,-0.002058,-0.002621,-0.001568,0.367476,0.288178,0.456247,0.000000,True,-0.000774,-0.001746,0.000136,-0.161681,-0.266809,-0.054892,0.000000,True
30,16,-0.002782,-0.003671,-0.001912,-0.083535,-0.166309,0.006104,0.193000,False,-0.002530,-0.004148,-0.000869,-0.364243,-0.485444,-0.235369,0.000000,True
31,13,-0.032279,-0.037663,-0.027012,0.352429,0.286588,0.413743,0.000000,True,-0.034722,-0.040536,-0.028894,0.359352,0.286607,0.423313,0.000000,True
24,19,0.016163,0.013573,0.018821,-0.079891,-0.152566,0.000587,0.980000,False,0.013939,0.011255,0.016615,-0.356126,-0.450166,-0.256092,0.000000,True
27,15,-0.001017,-0.001669,-0.000350,0.353985,0.259347,0.444512,0.000000,True,-0.006650,-0.008830,-0.004536,-0.190048,-0.275395,-0.101775,0.000000,True
12,1,-0.000269,-0.002832,0.002216,-0.208462,-0.302284,-0.115501,0.000000,True,-0.002763,-0.006166,0.000555,-0.349044,-0.452267,-0.238828,0.000000,True
27,27,-0.000087,-0.000176,0.000002,0.237164,0.168263,0.315280,0.000000,True,0.000559,0.000283,0.000849,-0.348821,-0.443926,-0.247832,0.000000,True
21,27,0.021310,0.018019,0.024689,-0.102255,-0.166140,-0.033399,0.427000,False,0.022645,0.018653,0.026812,-0.348600,-0.433158,-0.268698,0.000000,True
26,25,-0.000300,-0.000375,-0.000233,0.257014,0.172093,0.347385,0.000000,True,-0.000200,-0.000384,-0.000023,-0.348346,-0.464238,-0.219809,0.000000,True
29,17,0.000385,-0.000157,0.000914,0.027587,-0.030803,0.090666,0.577000,False,0.002872,0.000465,0.005321,-0.347912,-0.443577,-0.241556,0.000000,True
19,18,0.002860,0.002150,0.003547,-0.065265,-0.137342,0.007066,0.180000,False,0.000795,-0.001045,0.002624,-0.345344,-0.431009,-0.252418,0.000000,True
27,12,-0.000103,-0.000349,0.000140,0.343925,0.243586,0.440702,0.000000,True,0.000447,-0.000527,0.001327,-0.075564,-0.179097,0.035457,0.028000,False
4,17,0.000051,-0.000098,0.000205,0.343650,0.263977,0.431054,0.000000,True,-0.000006,-0.000130,0.000119,0.318830,0.225786,0.409033,0.000000,True
18,6,-0.000849,-0.001015,-0.000680,-0.181283,-0.320337,-0.025171,0.000000,True,-0.001355,-0.002001,-0.000743,-0.341317,-0.458219,-0.220702,0.000000,True
11,22,0.002134,0.000518,0.003849,0.120789,0.034917,0.207398,0.000000,True,-0.002807,-0.004730,-0.000656,-0.340440,-0.431299,-0.250133,0.000000,True
24,11,0.000327,0.000097,0.000560,0.059000,-0.025543,0.144686,0.484000,False,0.000097,-0.000242,0.000407,-0.339904,-0.435563,-0.252032,0.000000,True
28,3,-0.000658,-0.001323,-0.000026,0.041743,-0.033423,0.119374,0.340000,False,-0.002178,-0.003490,-0.000928,-0.337105,-0.422688,-0.256488,0.000000,True
14,26,0.000057,0.000030,0.000086,0.336850,0.252975,0.421031,0.000000,True,0.000049,0.000020,0.000080,0.274528,0.189585,0.354184,0.000000,True
27,26,-0.001461,-0.001892,-0.001024,-0.017294,-0.097534,0.055936,0.775000,False,-0.000974,-0.001513,-0.000412,-0.336429,-0.413413,-0.256568,0.000000,True
23,26,0.000215,-0.000114,0.000533,0.014697,-0.087027,0.107697,0.660000,False,-0.000155,-0.001290,0.000948,-0.336210,-0.409617,-0.262396,0.000000,True
14,11,0.000943,0.000452,0.001475,0.335684,0.253156,0.421022,0.000000,True,0.002379,0.001229,0.003680,0.295115,0.204857,0.385611,0.000000,True
28,9,-0.002100,-0.002623,-0.001587,0.335652,0.240547,0.428951,0.000000,True,-0.001546,-0.002193,-0.000930,0.289132,0.186122,0.385985,0.000000,True
24,31,-0.000170,-0.000307,-0.000048,0.281639,0.214692,0.368561,0.000000,True,-0.000256,-0.000502,-0.000003,0.333482,0.253528,0.415253,0.000000,True
24,13,-0.000585,-0.000839,-0.000352,0.261073,0.158677,0.361766,0.000000,True,-0.002243,-0.002949,-0.001546,0.332919,0.246169,0.411180,0.000000,True
28,4,-0.002192,-0.002734,-0.001705,0.331734,0.259768,0.416498,0.000000,True,-0.003543,-0.004109,-0.002967,0.314551,0.243523,0.389338,0.000000,True
0,13,0.003176,0.003053,0.003293,0.307972,0.216720,0.398365,0.000000,True,0.003428,0.003295,0.003556,-0.331030,-0.408772,-0.256159,0.000000,True
27,24,0.001734,0.001002,0.002447,0.098991,0.019626,0.184277,0.034000,False,0.000342,-0.000564,0.001259,-0.328733,-0.420607,-0.233323,0.000000,True
24,12,-0.000029,-0.000131,0.000067,0.328444,0.244535,0.411282,0.000000,True,-0.000992,-0.001467,-0.000523,-0.028204,-0.102681,0.046776,0.567000,False
11,28,0.001111,-0.000686,0.002781,-0.145015,-0.241505,-0.069414,0.000000,True,-0.003092,-0.005150,-0.000978,-0.327818,-0.424924,-0.229262,0.000000,True
23,4,-0.000630,-0.000955,-0.000320,-0.005412,-0.087451,0.072635,0.878000,False,-0.002061,-0.003167,-0.000972,-0.325278,-0.423744,-0.223907,0.000000,True
30,23,-0.000777,-0.001024,-0.000545,0.324702,0.246655,0.410245,0.000000,True,-0.000690,-0.001093,-0.000280,0.312355,0.211332,0.409938,0.000000,True
27,0,-0.000164,-0.000358,0.000027,0.323846,0.247419,0.411717,0.000000,True,-0.001210,-0.001792,-0.000661,-0.250195,-0.345100,-0.149495,0.000000,True
4,18,-0.002653,-0.003645,-0.001643,0.323036,0.227904,0.415672,0.000000,True,-0.004493,-0.005407,-0.003656,0.285772,0.188398,0.380428,0.000000,True
18,2,-0.020638,-0.023614,-0.017580,0.070711,0.006756,0.130416,0.079000,False,-0.022037,-0.025567,-0.018402,-0.322746,-0.414278,-0.245091,0.000000,True
27,4,0.015760,0.010733,0.020749,-0.127433,-0.190981,-0.062354,0.047000,False,0.014673,0.009816,0.019396,-0.321899,-0.425363,-0.218821,0.000000,True
29,23,0.022471,0.019564,0.025419,0.012002,-0.049423,0.074668,0.857000,False,0.025540,0.022449,0.028722,-0.321808,-0.431515,-0.216144,0.000000,True
25,26,-0.000006,-0.000253,0.000226,0.141060,0.077344,0.202401,0.000000,True,-0.002839,-0.003843,-0.001866,-0.321802,-0.422835,-0.217166,0.000000,True
27,19,-0.001389,-0.001594,-0.001164,0.321623,0.230676,0.418473,0.000000,True,-0.000575,-0.001528,0.000415,-0.063655,-0.130741,-0.018351,0.097000,False
26,5,0.002250,0.001550,0.003008,0.239077,0.150431,0.329845,0.000000,True,0.000246,-0.001031,0.001439,-0.320489,-0.409184,-0.224748,0.000000,True
27,14,-0.000153,-0.000457,0.000127,0.320411,0.225257,0.418065,0.000000,True,-0.002282,-0.003304,-0.001287,0.085467,0.018963,0.153006,0.032000,False
11,17,-0.001169,-0.002166,-0.000148,0.319713,0.214222,0.422913,0.000000,True,-0.005398,-0.007621,-0.003372,0.249916,0.153512,0.344769,0.000000,True
17,17,-0.000212,-0.000505,0.000109,-0.100283,-0.163771,-0.047006,0.012000,False,-0.000616,-0.001739,0.000453,-0.319592,-0.413041,-0.219358,0.000000,True
26,1,-0.000345,-0.000982,0.000274,-0.035112,-0.116278,0.035844,0.513000,False,0.000089,-0.000854,0.000973,-0.319459,-0.434823,-0.201235,0.000000,True
2,22,0.000202,-0.000044,0.000431,0.040594,-0.036289,0.114007,0.202000,False,0.003994,0.003160,0.004889,0.318457,0.230623,0.411764,0.000000,True
6,15,0.001374,0.000184,0.002465,0.318197,0.226163,0.406338,0.000000,True,0.000128,-0.000919,0.001088,0.243242,0.148305,0.335600,0.000000,True
27,3,-0.000442,-0.000625,-0.000262,0.317957,0.245059,0.400338,0.000000,True,-0.000327,-0.000646,-0.000008,-0.128736,-0.232178,-0.026198,0.000000,True
9,23,0.007116,0.005652,0.008636,0.044083,-0.042559,0.126459,0.231000,False,0.006711,0.005133,0.008342,-0.317271,-0.424015,-0.207024,0.000000,True
27,30,0.004234,0.003297,0.005166,0.068467,0.011104,0.133919,0.105000,False,0.006316,0.004535,0.008063,-0.316860,-0.433028,-0.203720,0.000000,True
4,24,0.000211,-0.000126,0.000556,0.316349,0.238780,0.394750,0.000000,True,0.000224,-0.000186,0.000691,0.280179,0.187818,0.371728,0.000000,True
15,26,-0.004491,-0.006905,-0.002170,0.312368,0.227514,0.400122,0.000000,True,-0.003387,-0.007691,0.000866,0.173865,0.080083,0.262829,0.000000,True
31,27,-0.001446,-0.001924,-0.000957,0.161522,0.097323,0.233869,0.000000,True,-0.002539,-0.004122,-0.001105,-0.311918,-0.401643,-0.219462,0.000000,True
28,14,-0.004872,-0.006653,-0.003145,-0.098063,-0.191652,-0.006400,0.066000,False,-0.007616,-0.009423,-0.005785,-0.311482,-0.417804,-0.196205,0.000000,True
7,19,0.010643,0.007214,0.013970,0.290000,0.160651,0.421361,0.000000,True,0.012193,0.008543,0.015805,0.310703,0.198152,0.426224,0.000000,True
20,11,0.020915,0.016924,0.025142,0.028727,-0.038970,0.093471,0.702000,False,0.024461,0.020018,0.029198,-0.310202,-0.388902,-0.233542,0.000000,True
2,31,-0.000257,-0.000379,-0.000134,0.308284,0.221782,0.393799,0.000000,True,0.000004,-0.000100,0.000113,0.226158,0.125281,0.321492,0.000000,True
11,16,0.000229,-0.000225,0.000682,0.308079,0.207812,0.406839,0.000000,True,0.000305,-0.000750,0.001298,0.285274,0.189089,0.380433,0.000000,True
21,17,-0.000626,-0.000937,-0.000330,0.307366,0.240328,0.382765,0.000000,True,-0.001050,-0.001547,-0.000573,-0.244389,-0.351037,-0.130011,0.000000,True
8,17,0.001540,-0.000291,0.003221,0.169762,0.073319,0.268501,0.000000,True,-0.002885,-0.005621,-0.000210,-0.306730,-0.381262,-0.230086,0.000000,True
23,0,-0.000116,-0.000213,-0.000015,0.306591,0.215817,0.394155,0.000000,True,0.000111,-0.000135,0.000356,0.180896,0.093274,0.267061,0.000000,True
0,0,0.010302,0.008606,0.012076,0.306449,0.223461,0.390124,0.000000,True,0.007916,0.006690,0.009173,0.242982,0.145632,0.338728,0.000000,True
3,24,0.002277,0.001735,0.002859,0.263701,0.173059,0.357219,0.000000,True,0.002261,0.001763,0.002786,0.306288,0.210269,0.403975,0.000000,True
19,15,0.015193,0.009582,0.021410,-0.025040,-0.103772,0.048766,0.599000,False,0.030704,0.022551,0.038878,-0.305093,-0.404306,-0.208120,0.000000,True
24,6,0.000036,-0.000495,0.000528,0.190886,0.108351,0.272517,0.000000,True,-0.012059,-0.014633,-0.009287,-0.304985,-0.408140,-0.199278,0.000000,True
0,17,0.003073,0.002798,0.003355,0.275971,0.179402,0.369892,0.000000,True,0.003227,0.002934,0.003525,-0.303809,-0.392492,-0.218806,0.000000,True
1,25,-0.000149,-0.000218,-0.000084,0.303676,0.205306,0.400866,0.000000,True,-0.000147,-0.000217,-0.000080,0.123521,0.048516,0.196388,0.000000,True
28,12,0.003679,0.002999,0.004366,0.013512,-0.057869,0.083503,0.853000,False,0.004849,0.003158,0.006487,-0.302603,-0.396708,-0.211655,0.000000,True
16,9,0.000810,0.000431,0.001235,-0.003670,-0.101811,0.083399,0.895000,False,-0.000679,-0.002202,0.000838,-0.302254,-0.412682,-0.185043,0.000000,True
30,4,-0.000278,-0.000378,-0.000179,0.216050,0.145440,0.286273,0.000000,True,-0.000276,-0.000857,0.000294,-0.301911,-0.397742,-0.203551,0.000000,True
24,28,-0.001076,-0.001544,-0.000648,0.301380,0.204076,0.395221,0.000000,True,-0.001284,-0.002089,-0.000504,0.274612,0.176198,0.361339,0.000000,True
22,20,-0.001875,-0.002401,-0.001454,0.003306,-0.095227,0.073423,0.921000,False,-0.002010,-0.002541,-0.001496,-0.300767,-0.409290,-0.188877,0.000000,True
3,26,0.001751,0.001028,0.002543,0.300496,0.216860,0.383662,0.000000,True,0.000137,-0.000276,0.000566,0.226078,0.136918,0.314137,0.000000,True
29,13,-0.001005,-0.001099,-0.000908,0.300473,0.224580,0.373782,0.000000,True,-0.001874,-0.002065,-0.001683,0.024296,-0.038492,0.090977,0.480000,False
1,1,-0.000342,-0.000410,-0.000279,0.300213,0.220808,0.382204,0.000000,True,-0.000284,-0.000361,-0.000209,0.213500,0.125235,0.301937,0.000000,True
3,8,0.000221,0.000118,0.000323,0.300107,0.214927,0.382606,0.000000,True,0.000143,0.000006,0.000274,0.234256,0.136115,0.328497,0.000000,True
5,24,0.006474,0.003988,0.009053,-0.186174,-0.256419,-0.122774,0.000000,True,0.002847,0.000398,0.005384,-0.299377,-0.389767,-0.210514,0.000000,True
1,27,-0.000065,-0.000114,-0.000014,0.298209,0.207369,0.386022,0.000000,True,0.000026,-0.000027,0.000082,0.244927,0.153085,0.334834,0.000000,True
1,16,-0.000034,-0.000044,-0.000024,0.297795,0.218818,0.379039,0.000000,True,-0.000050,-0.000060,-0.000039,0.230694,0.141829,0.319227,0.000000,True
1,0,-0.000773,-0.000947,-0.000584,0.297650,0.217486,0.380263,0.000000,True,-0.000824,-0.001024,-0.000625,0.260824,0.167961,0.353407,0.000000,True
18,3,0.000730,0.000522,0.000949,-0.008222,-0.078798,0.067583,0.955000,False,-0.001256,-0.001957,-0.000587,-0.297590,-0.394326,-0.203915,0.000000,True
4,1,-0.000189,-0.000576,0.000184,-0.041139,-0.140054,0.073506,0.248000,False,0.000305,-0.000195,0.000791,-0.297437,-0.378650,-0.213604,0.000000,True
8,24,0.011966,0.007795,0.016556,0.041799,-0.060214,0.138849,0.476000,False,0.004989,0.000244,0.009650,-0.296877,-0.371819,-0.221323,0.000000,True
7,2,-0.000596,-0.000904,-0.000289,0.264214,0.172410,0.353222,0.000000,True,-0.000538,-0.001004,-0.000073,0.296849,0.202102,0.389203,0.000000,True
0,8,0.012581,0.012379,0.012778,0.296599,0.209694,0.381157,0.000000,True,0.012773,0.012567,0.012976,-0.285436,-0.364537,-0.204634,0.000000,True
1,10,-0.000605,-0.000837,-0.000368,0.296498,0.207140,0.384417,0.000000,True,0.001083,0.000661,0.001520,0.240773,0.144345,0.336054,0.000000,True
24,15,-0.000232,-0.000428,-0.000055,0.296350,0.225558,0.371873,0.000000,True,-0.000832,-0.001245,-0.000428,0.266486,0.178000,0.350708,0.000000,True
29,12,-0.001195,-0.001338,-0.001056,0.295910,0.239865,0.360974,0.000000,True,-0.001695,-0.001925,-0.001469,-0.001164,-0.091432,0.091700,0.980000,False
13,31,0.006720,0.003155,0.010490,-0.014967,-0.107426,0.072819,0.646000,False,0.005723,0.001406,0.010284,-0.295459,-0.376612,-0.216645,0.000000,True
0,19,0.002857,0.002726,0.002990,-0.295446,-0.383616,-0.207362,0.000000,True,0.003095,0.002974,0.003219,-0.255854,-0.349216,-0.159877,0.000000,True
19,19,0.001173,0.000892,0.001470,-0.047529,-0.112464,0.020631,0.348000,False,0.000848,0.000319,0.001348,-0.295011,-0.377399,-0.205668,0.000000,True
1,17,0.000658,0.000409,0.000916,0.294962,0.212536,0.379963,0.000000,True,0.000664,0.000418,0.000923,0.230628,0.130716,0.329785,0.000000,True
29,6,-0.001171,-0.001635,-0.000710,0.294794,0.202421,0.389937,0.000000,True,-0.000476,-0.001248,0.000269,0.050823,-0.015320,0.129520,0.315000,False
3,11,0.000142,0.000025,0.000263,0.294513,0.209689,0.377881,0.000000,True,0.000084,-0.000025,0.000191,0.263660,0.166415,0.358515,0.000000,True
7,5,-0.000441,-0.000581,-0.000306,0.294266,0.202674,0.389663,0.000000,True,-0.000451,-0.000616,-0.000295,0.267670,0.173812,0.360576,0.000000,True
11,3,0.003447,0.001480,0.005628,0.021541,-0.066679,0.108095,0.497000,False,-0.002360,-0.004923,0.000151,-0.294152,-0.386236,-0.197426,0.000000,True
1,24,-0.000049,-0.000138,0.000043,0.293906,0.203626,0.385639,0.000000,True,-0.000092,-0.000194,0.000011,0.267296,0.168810,0.366754,0.000000,True
23,3,0.002006,0.001453,0.002547,0.095744,0.038096,0.158108,0.011000,False,0.002475,0.001239,0.003725,-0.293521,-0.382636,-0.195433,0.000000,True
3,4,-0.000024,-0.000037,-0.000011,0.293508,0.205907,0.375979,0.000000,True,-0.000026,-0.000045,-0.000007,0.219159,0.127617,0.308319,0.000000,True
0,15,0.000731,0.000717,0.000744,0.289950,0.198924,0.381625,0.000000,True,0.000752,0.000737,0.000766,-0.293257,-0.390139,-0.197128,0.000000,True
10,28,0.006742,0.000098,0.013763,-0.262220,-0.335334,-0.181384,0.000000,True,-0.000025,-0.007773,0.007918,-0.292777,-0.385069,-0.191319,0.000000,True
3,10,0.000043,-0.000220,0.000304,0.292636,0.203886,0.379055,0.000000,True,-0.000549,-0.000816,-0.000275,0.222351,0.123793,0.317132,0.000000,True
0,9,0.008409,0.008279,0.008530,0.292204,0.199941,0.382999,0.000000,True,0.008398,0.008264,0.008525,0.163494,0.073543,0.249365,0.000000,True
27,2,0.000682,0.000048,0.001315,0.090258,0.006374,0.190417,0.480000,False,0.000755,-0.000106,0.001582,-0.291664,-0.378968,-0.206401,0.000000,True
10,11,-0.000613,-0.001360,0.000077,0.291427,0.206044,0.384337,0.000000,True,-0.002164,-0.003880,-0.000521,0.237884,0.148893,0.329688,0.000000,True
