cell,Y,dY_vs_P0,ci_lo,ci_hi,added_tok,mass,R_sysTRUE,R_sysFALSE
baseline_pref,-8.512,-10.439,-11.73,-9.043,-13.7,0.4751,-7.179,9.846
P0,1.933,0.0,0,0,0.0,0.4025,0.378,-3.489
P1_32,1.537,-0.389,-0.906,0.178,32.0,0.4956,-0.411,-3.484
P1_128,2.671,0.749,0.034,1.513,128.0,0.4973,2.475,-2.868
P1_512,2.02,0.098,-0.635,0.932,512.0,0.6058,0.107,-3.933
P2_32,1.38,-0.552,-0.774,-0.321,32.0,0.3758,-1.467,-4.228
P2_128,0.744,-1.187,-1.519,-0.856,128.0,0.3756,-1.874,-3.361
P2_512,1.038,-0.894,-1.145,-0.659,512.0,0.4347,-1.235,-3.31
P3_32,1.873,-0.055,-0.526,0.408,32.0,0.6259,1.071,-2.675
P3_128,3.57,1.638,1.185,2.098,128.0,0.81,3.051,-4.089
P3_512,2.334,0.404,-0.204,0.982,512.0,0.807,1.463,-3.206
filler_neutral,-8.879,-10.804,-12.068,-9.453,498.3,0.5703,-7.858,9.901
