layer,accept_exch,accept_tp,Daccept,Dacc_ci_lo,Dacc_ci_hi,to_twin_exch,revert_exch
8,0.26536,0.07224,0.19312,0.18242,0.20158,0.07224,-0.0
9,0.04503,0.00064,0.04439,0.04304,0.04578,0.3076,0.26233
10,0.03403,0.00037,0.03366,0.03225,0.0352,0.32971,0.29001
11,0.03629,0.00033,0.03596,0.03476,0.03725,0.35687,0.31858
12,0.03054,0.00029,0.03026,0.02919,0.03126,0.38607,0.35055
13,0.02459,0.00016,0.02443,0.02288,0.026,0.37265,0.33703
14,0.02554,0.0003,0.02524,0.02395,0.02643,0.37356,0.33569
15,0.02053,0.00017,0.02036,0.01937,0.02135,0.37715,0.33294
16,0.01967,0.00017,0.0195,0.01841,0.02068,0.37183,0.32139
17,0.01086,8e-05,0.01078,0.0099,0.0117,0.36268,0.30899
18,0.00723,8e-05,0.00715,0.00654,0.00782,0.36109,0.30522
19,0.00248,2e-05,0.00246,0.00223,0.00269,0.35437,0.29548
20,0.00345,3e-05,0.00342,0.00316,0.00376,0.36303,0.30332
21,0.0037,2e-05,0.00368,0.00335,0.00402,0.37039,0.3083
22,0.00259,3e-05,0.00256,0.00233,0.00279,0.37005,0.30798
23,0.00563,3e-05,0.00559,0.00512,0.00614,0.37398,0.31183
24,0.00128,1e-05,0.00127,0.00116,0.00138,0.37244,0.31615
25,0.00334,2e-05,0.00331,0.00309,0.00358,0.37286,0.31708
26,0.00461,5e-05,0.00456,0.00413,0.00499,0.37149,0.31838
27,0.00395,9e-05,0.00385,0.00349,0.0042,0.37286,0.32336
28,0.00761,6e-05,0.00756,0.00663,0.00857,0.37304,0.32543
29,0.00441,0.00014,0.00427,0.00375,0.00479,0.36886,0.32715
30,0.00559,0.00016,0.00543,0.00463,0.00636,0.3628,0.32467
31,0.00773,0.00021,0.00752,0.00691,0.0081,0.36268,0.32941
