layer,condition,probe,heldout_acc,ci_lo,ci_hi,null_p95,refit_k,repro_ok
8,post_deflation,linear,0.5426,0.5203,0.5652,0.5054,43,True
8,post_deflation,mlp,0.95,0.9367,0.9626,0.5076,43,True
8,pre_deflation,linear,0.9665,0.9568,0.9758,0.5116,43,True
8,pre_deflation,mlp,0.9723,0.9631,0.9805,0.5143,43,True
24,post_deflation,linear,0.5473,0.529,0.5645,0.5062,40,True
24,post_deflation,mlp,0.8979,0.8762,0.9171,0.5073,40,True
24,pre_deflation,linear,0.89,0.8753,0.905,0.5096,40,True
24,pre_deflation,mlp,0.9232,0.9078,0.9389,0.5088,40,True
31,post_deflation,linear,0.5435,0.5304,0.5575,0.5057,32,True
31,post_deflation,mlp,0.9042,0.8861,0.9222,0.5066,32,True
31,pre_deflation,linear,0.8981,0.8833,0.9137,0.5099,32,True
31,pre_deflation,mlp,0.9277,0.9123,0.9437,0.5089,32,True
16,post_deflation,linear,0.5591,0.5472,0.5714,0.5085,50,True
16,post_deflation,mlp,0.936,0.9187,0.9509,0.5111,50,True
16,pre_deflation,linear,0.9552,0.9455,0.9642,0.5112,50,True
16,pre_deflation,mlp,0.9668,0.9571,0.9755,0.5115,50,True
